# timestamp(s) wx wy wz ax ay az
1430533168.300278187 11.172607200 0.866451188 -0.944719145 -9.717819802 1.877057814 -1.229916940
1430533168.310278177 10.324431604 0.918985760 -0.847661398 -9.703056320 1.474611035 -1.581146244
1430533168.320277929 9.087130340 0.972068903 -0.703814071 -9.722885010 1.127231693 -1.829356032
1430533168.330278158 7.544306692 1.012488303 -0.522244388 -9.732289725 0.791867180 -2.035703920
1430533168.340278387 5.766795304 1.042396414 -0.314417832 -9.698157437 0.513629108 -2.164253149
1430533168.350278139 3.841718223 1.057134102 -0.107301909 -9.703435104 0.306763713 -2.304927363
1430533168.360278130 1.850763739 1.051543455 0.081509499 -9.659422085 0.205192969 -2.428403595
1430533168.370278120 -0.130622872 1.022691164 0.248297370 -9.631197138 0.188016437 -2.567083258
1430533168.380278349 -2.012536268 0.957969593 0.363446442 -9.615098840 0.319134341 -2.670328330
1430533168.390278101 -3.714962819 0.865425451 0.438091753 -9.589363853 0.502089021 -2.774783737
1430533168.400278091 -5.158267302 0.732867532 0.447358416 -9.524400115 0.792491017 -2.845869624
1430533168.410278082 -6.251896246 0.556986213 0.399538052 -9.514376425 1.087326990 -2.811684228
1430533168.420278311 -6.977313004 0.333802632 0.297356050 -9.487386366 1.448363056 -2.839416225
1430533168.430278063 -7.365100367 0.086397080 0.160135542 -9.473916027 1.714655094 -2.718122705
1430533168.440278053 -7.483661577 -0.176893706 0.006692298 -9.420901340 1.916189052 -2.553938113
1430533168.450278044 -7.378342791 -0.439484207 -0.162085117 -9.388874507 2.087566174 -2.378642654
1430533168.460278273 -7.104383771 -0.681204553 -0.325214220 -9.394956990 2.178692409 -2.235214210
1430533168.470278263 -6.719774043 -0.880436265 -0.478028262 -9.394709627 2.177282883 -2.090952180
1430533168.480278015 -6.283896365 -1.020692715 -0.603595740 -9.392632582 2.150882386 -1.959592770
1430533168.490278244 -5.844771227 -1.088433644 -0.698257667 -9.371277363 2.087318130 -1.881202191
1430533168.500278234 -5.463164797 -1.072562045 -0.738046859 -9.427560943 1.956900883 -1.817785925
1430533168.510278225 -5.199107692 -0.959726035 -0.710022815 -9.344117096 1.758984587 -1.828421515
1430533168.520277977 -5.066851256 -0.756473283 -0.596397280 -9.380923513 1.593016773 -1.849870112
1430533168.530278206 -5.050924931 -0.489996078 -0.421986213 -9.393663867 1.450851775 -1.784839322
1430533168.540278196 -5.119210644 -0.180274057 -0.192353578 -9.434658036 1.334702786 -1.801817543
1430533168.550278187 -5.245778127 0.141498844 0.066158018 -9.476853625 1.307262970 -1.748238821
1430533168.560277939 -5.411883283 0.451714301 0.336447612 -9.521447808 1.218537013 -1.720818595
1430533168.570278168 -5.580707852 0.725093228 0.604090178 -9.576191602 1.208497260 -1.671096069
1430533168.580278158 -5.726639751 0.940939705 0.837132663 -9.645113510 1.138778646 -1.550218653
1430533168.590278149 -5.831944289 1.082860639 1.020235755 -9.725714010 1.124520906 -1.440543015
1430533168.600277901 -5.862246138 1.119846026 1.112482310 -9.871341733 1.037115611 -1.329283439
1430533168.610278130 -5.799980698 1.060465315 1.094424716 -10.012672655 0.965128979 -1.105760482
1430533168.620278358 -5.632993482 0.897112594 0.950824463 -10.186257258 0.928555306 -0.973060958
1430533168.630278111 -5.383816582 0.654829656 0.708419985 -10.249114076 0.865787441 -0.914493725
1430533168.640278101 -5.085124328 0.364760758 0.388652531 -10.354456307 0.898648613 -0.791980826
1430533168.650278091 -4.764560032 0.044555481 0.025136072 -10.328307484 0.953045919 -0.732721159
1430533168.660278320 -4.455532976 -0.278136746 -0.363384181 -10.322149976 1.035381946 -0.595431508
1430533168.670278072 -4.185200953 -0.564782905 -0.737760772 -10.286521404 1.127017232 -0.503463718
1430533168.680278063 -3.979657431 -0.803939650 -1.079909416 -10.160432064 1.244491714 -0.406544066
1430533168.690278053 -3.886411976 -0.967179059 -1.355542830 -10.091088733 1.439709884 -0.256516680
1430533168.700278282 -3.924761994 -1.042179338 -1.532252214 -9.868685140 1.683818788 -0.043757109
1430533168.710278034 -4.129593287 -1.019171996 -1.574453533 -9.687029204 2.015320705 0.095169168
1430533168.720278025 -4.506256659 -0.903364982 -1.463538360 -9.538894599 2.261639174 0.269231898
