# timestamp(s) wx wy wz ax ay az
1430533023.770255089 -5.407475945 -0.201464237 0.311812326 -8.769686654 3.451358560 -2.308286198
1430533023.780255079 -5.408939199 -0.203044467 0.316356766 -8.769266859 3.602045225 -2.118442305
1430533023.790255070 -5.407162281 -0.199767905 0.310697086 -8.767464485 3.726145454 -1.889475497
1430533023.800255060 -5.409379596 -0.200390028 0.311868443 -8.743039967 3.839639457 -1.696856848
1430533023.810255051 -5.409336728 -0.202822915 0.312756264 -8.749726880 3.968791725 -1.470310154
1430533023.820255041 -4.666523269 -0.213611200 0.103418936 -8.198735759 3.993526370 -1.289045601
1430533023.830255032 -4.668055557 -0.211417813 0.105531203 -8.213117155 4.001668332 -1.111194307
1430533023.840255022 -4.666999442 -0.212789647 0.107528379 -8.183888802 4.070745092 -0.881195888
1430533023.850255013 -4.667353372 -0.208452418 0.106372199 -8.214693425 4.096720482 -0.708495588
1430533023.860255003 -4.662781382 -0.211699639 0.104223539 -8.166150222 4.214925365 -0.518664242
1430533023.870254993 -4.665054620 -0.209357428 0.104243307 -8.161232237 4.192543880 -0.297298241
1430533023.880254984 -4.664483601 -0.212665929 0.105838634 -8.168279894 4.182941881 -0.042797625
1430533023.890254974 -4.664078594 -0.208908352 0.106734757 -8.141829590 4.181136772 0.133125793
1430533023.900254965 -4.664627399 -0.210076166 0.108308270 -8.166753226 4.225552007 0.343046051
1430533023.910254955 -4.663456594 -0.210234656 0.105162302 -8.126953818 4.150931586 0.549283560
1430533023.920254946 -4.626066105 -0.088566208 -0.460434888 -8.269851822 1.911599100 2.311572422
1430533023.930254936 -4.623252545 -0.091576701 -0.461228298 -8.277983232 1.767737781 2.424919089
1430533023.940254927 -4.619418761 -0.089816384 -0.462138792 -8.266491918 1.652946873 2.491903503
1430533023.950254917 -4.627795291 -0.093242309 -0.462382448 -8.277626046 1.462196859 2.610130571
1430533023.960254908 -4.625341934 -0.092284265 -0.461648470 -8.297934092 1.293237641 2.668907911
1430533023.970254898 -4.625023576 -0.093355918 -0.464696811 -8.286605378 1.133226162 2.719085046
